binex 1.0-2
binflow 5.7fb02a9-1
bing-ip2hosts 1.0.3-1
bing-lfi-rfi 0.1-3
bingoo 3.698132f-1
binnavi 6.1.0-3
binproxy 8.d02fce9-9
binutils 2.35.1-1
binwalk 2.2.0-2
binwally 4.0aabd8b-2
bios_memimage 1.2-3
birp 65.b2e108a-3
bison 3.7.2-1
bitcoin-daemon 0.20.1-2
bitdump 34.6a5cbd8-2
bittwist 2.0-2
bkhive 1.1.1-1
blackarch-config-awesome 46.e38ba92-1
blackarch-config-bash 10.cd99835-1
blackarch-config-fluxbox 38.b826a53-1
blackarch-config-gtk 4.f9f6a21-3
blackarch-config-i3 202.01edbd9-1
blackarch-config-lxdm 20.b109457-1
blackarch-config-openbox 37.b128aa0-1
blackarch-config-spectrwm 8.ee5d156-2
blackarch-config-vim 16.7d7ad5f-1
blackarch-config-x11 21.e38cf84-1
blackarch-installer 1.2.16-1
blackarch-keyring 20140118-3
blackarch-menus 0.3-2
blackarch-wallpaper 1:3.0-2
blackbox-scanner 4:1.7a25220-1
blackeye 27.dfcd597-1
blackhash 0.2-8
blackmate 49.6e5f2d3-1
blacknurse 9.d2a2b23-1
bladerf 2.2.1-4
blas 3.9.0-3
bleah 53.6a2fd3a-1
bless 0.6.3-1
bletchley 0.0.1-9
blindelephant 7-2
blindsql 1.0-3
blind-sql-bitshifting 54.5bbc183-1
blindy 12.59de8f2-2
blisqy 20.e9995fc-1
bloodhound 923.66ffed1-1
bloodhound-python v1.0.1.r16.gfd793b9-1
bluebox-ng 1:1.1.0-4
bluebugger 0.1-4
bluediving 0.9-6
bluefog 0.0.4-3
bluelog 1.1.2-1
bluepot 0.1-4
blueprint 0.1_3-6
blueranger 1.0-3
bluescan 1.0.6-3
bluesnarfer 0.1-5
bluez 5.55-1
bluez-hciconfig 5.50-1
bluez-hid2hci 5.55-1
bluez-libs 5.55-1
bluez-tools 0.2.0-5
bluez-utils 5.55-1
bluphish 9.a7200bd-2
bluto 1:142.25cad7a-1
bmc-tools 10.00c2f38-1
bob-the-butcher 0.7.1-2
bof-detector 19.e08367d-2
bonesi 12.733c9e9-1
boopsuite 170.16c902f-1
boost 1.72.0-2
boost-libs 1.72.0-2
bopscrk 72.34fb3fd-1
botb 56.3bde667-1
bowcaster 230.17d69c1-1
bower 1.8.8-2
box-js 387.b945f8a-1
braa 0.82-5
braces 0.4-1
brakeman 3595.b414f2fd2-1
bridge-utils 1.7-1
brltty 6.1-2
broadcom-wl 6.30.223.271-247
brosec 277.4b335e5-1
brotli06 0.6.0-2
brotli 1.0.9-2
browselist 1.4-1
browser-fuzzer 3-3
brut3k1t 94.dcce5a1-2
brute12 1-1
brute-force 52.78d1d8e-1
bruteforce-luks 46.a18694a-1
bruteforce-salted-openssl 53.8a2802e-1
bruteforce-wallet 39.f6d8cc5-1
brutemap 65.da4b303-1
brutespray 148.340af6d-2
brutessh 0.6-3
brutex 101.16c6300-1
brutexss 54.ba753df-1
brutus 2-6
bsdiff 4.3-10
bsqlbf 2.7-3
bsqlinjector 13.027184f-3
bss 0.8-5
bt_audit 0.1.1-4
btcrack 1.1-4
btlejack 82.7cd784a-3
btproxy-mitm 71.cd1c906-2
btrfs-progs 5.9-1
btscanner 2.1-9
bubblewrap 0.4.1-1
bulk-extractor 1551.b287b06-1
bully 1.1.12.g04185d7-2
bunny 0.93-6
burpsuite 1:2020.11.1-1
buster 92.131437e-2
buttinsky 138.1a2a1b2-8
bvi 1.4.1-1
bypass-firewall-dns-history 33.c55b7ce-1
bytecode-viewer 1:2.9.22-1
bzip2 1.0.8-4
c5scan 30.be8845c-1
cabextract 1.9.1-2
ca-certificates 20181109-4
ca-certificates-mozilla 3.59-1
ca-certificates-utils 20181109-4
cachedump 1.1-4
cadaver 0.23.3-12
cafebabe 0.1.2-1
cairo 1.17.2+25+gaee96d175-1
cairo-perl 1.107-2
cameradar 139.0984607-1
camscan 1.0057215-2
canalyzat0r 41.6bc251e-2
canari 3.3.10-2
cangibrina 123.6de0165-1
cansina 2:51.9d171bd-2
cantarell-fonts 1:0.201-1
cantoolz 1:424.bc4c2bf-3
can-utils 710.c3d9cc2-1
capfuzz 34.97ac312-3
capnproto 0.8.0-1
capstone 4.0.2-1
captipper 74.3fb2836-1
cardpwn 32.166abf9-1
c-ares 1.17.1-1
carwhisperer 0.2-4
casefile 1.0.1-7
catnthecanary 7.e9184fe-2
catphish 44.768d213-8
cblas 3.9.0-3
ccrawldns 3.6325110-1
cdparanoia 10.2-8
cdpsnarf 0.1.6-5
cdrtools 3.02a09-4
cecster 5.15544cb-4
centry 72.6de2868-3
ceph-libs 15.2.6-1
certgraph 146.2e0c18b-1
cewl 106.d9dab11-1
cflow 1.6-1
cfr 150-1
chameleon 27.a2f0cf1-2
chameleonmini 391.740ee3c-1
changeme 266.89f59d4-2
chankro 21.7b6e844-1
chaos-client 73.a5e70d4-1
chaosmap 1.3-5
chaosreader 0.94-4
chapcrack 17.ae2827f-5
cheat-sh 6-1
checkiban 0.2-3
checkpwd 1.23-4
checksec 2.4.0-1
check-weak-dh-ssh 0.1-3
chiasm-shell 33.e20ed9f-7
chipsec 4:1040.6cd7a34-1
chiron 48.524abe1-1
chisel 152.2092107-1
chkrootkit 0.53-1
chntpw 140201-4
chopshop 413.3dfb7be-1
choronzon 4.d702c31-2
chownat 0.08b-5
chrome-decode 0.1-7
chromefreak 24.12745b1-4
chromensics 1.0-4
chromium 87.0.4280.66-1
chw00t 39.1fd1016-1
cidr2range 1.0-1
cifs-utils 6.11-1
cintruder 14.f8a3f12-1
cipherscan 417.885b345-1
ciphertest 22.e33eb4a-1
ciphr 127.5da7137-9
cirt-fuzzer 1.0-3
cisco5crack 2.c4b228c-2
cisco7crack 2.f1c21dd-2
cisco-auditing-tool 1-7
cisco-global-exploiter 1.3-5
cisco-ocs 0.2-5
cisco-router-config 1.1-3
ciscos 1.3-2
cisco-scanner 0.2-1
cisco-snmp-enumeration 10.ad06f57-3
cisco-snmp-slap 5.daf0589-3
cisco-torch 0.4b-8
citadel 95.3b1adbc-1
cjexploiter 6.72b08d8-2
clair 2.1.4-2
clamscanlogparser 1-1
clang 11.0.0-1
climber 30.5530a78-3
cln 1.3.6-2
cloakify 117.f45c3b3-1
cloud-buster 194.b55e4a1-1
cloudfail 77.fcd9016-2
cloudflare-enum 10.412387f-2
cloudget 64.cba10b1-1
cloudmare 56.baf01dc-1
cloudsploit 462.92528d7-1
cloudunflare 14.b91a8a7-1
clusterd 143.d190b2c-3
cmake 3.19.1-1
cminer 25.d766f7e-1
cmospwd 5.1-1
cmseek 346.4632efb-1
cms-explorer 15.23b58cd-1
cms-few 0.1-3
cmsfuzz 5.6be5a98-3
cmsmap 1:8.59dd0e2-5
cmsscan 41.45a0360-1
cmsscanner 0.12.1.27.ga7f6a3b-1
cnamulator 5.4667c68-2
cntlm 4.b35d55c-2
codec2 1:0.9.2-1
codeql 1:2.2.5-1
codetective 45.52b91f1-2
coffeescript 2.5.1-1
colord 1.4.5-1
comission 203.67b890e-1
commix 1510.e3399313-1
commonspeak 36.f0aad23-1
compiler-rt 11.0.0-1
complemento 0.7.6-4
configpush 0.8.5-3
confuse 3.3-2
conn 1.0.39-1
conpot 0.6.0-3
conscan 1.2-3
cookie-cadger 1.08-2
cookiejar 0.0.3-1
coreutils 8.32-1
corkscrew 2.0-8
corscanner 71.ba44ea1-1
corstest 10.beffd0b-2
corsy 32.fdf0dd5-1
cottontail 78.8c9abb5-1
couchdb 3.1.1-1
cowpatty 4.8-2
cpfinder 0.1-3
cpio 2.13-2
cppcheck 2.2-1
cpptest 2.0.0-1
cppunit 1.15.1-2
cr3dov3r 46.99a1660-2
crabstick 47.bb7827f-1
crackle 104.0fc1938-1
cracklib 2.9.7-2
crackmapexec 601.14d12fb-1
crackq 48.89b7318-2
crackserver 33.e5763ab-2
crawlic 51.739fe2b-2
crda 4.14-3
creak 40.52b0d74-3
create_ap 264.1e7eb32-1
creddump 3.ed95e1a-1
credmap 116.d862247-1
creds 1:17.1ec8297-5
credsniper 21.f52461b-1
creepy 1:137.9f60449-3
cribdrag 5.2d27dbf-1
crlf-injector 8.abaf494-2
crosslinked 20.1c08d3a-2
crosstool-ng 1.24.0-2
crowbar 111.4b563dc-1
crozono 1:5.6a51669-1
crunch 3.6-1
crypthook 18.690dcae-1
crypto++ 8.2.0-3
cryptonark 0.5.7-1
cryptsetup 2.3.4-1
csrftester 1.0-4
ctags 1:r20200106+ga3c87ab5-1
ct-exposer 22.5af35c3-1
ctunnel 0.7-1
ctypes-sh 153.6982e6c-1
cuckoo 2.0.7-7
cupp 77.56547fd-1
cups 1:2.3.3op1-1
cups-filters 1.28.5-3
curl 7.73.0-1
cutycapt 3:10-5
cvc4 1.8-2
cve-api 170.8e9c247-1
cvechecker 4.0-1
cve-search v3.0.r59.g19b01af-1
cybercrowl 111.f7cac52-1
cyberscan 75.ca85794-1
cymothoa 1-9
cython 0.29.21-1
cython2 0.29.21-1
dagon 244.f065d7b-2
dalfox 539.2d4c6c3-1
damm 32.60e7ec7-1
daredevil 41.dfa025e-1
darkbing 0.1-3
darkd0rk3r 1.0-6
dark-dork-searcher 1.0-5
darkhttpd 1.12-6
darkjumper 5.8-3
darkmysqli 1.6-3
darkscrape 63.4c225f3-1
darkspiritz 1:6.4d23e94-1
darkstat 3.0.719-4
datajackproxy 42.f75f3a3-1
datasploit 1:367.a270d50-3
dav1d 0.7.1-1
davoset 1.3.7-2
davscan 30.701f967-2
davtest 3.a282c58-1
dawnscanner 1:v1.6.9.r6.gac3eba5-6
db 5.3.28-5
dbd 61.8cf5350-1
dbpwaudit 0.8-7
dbus 1.12.20-1
dbus-glib 0.110-2
dbusmap 16.6bb2831-2
