gdk-pixbuf-xlib 2.40.2-2
gegl 0.4.40-3
gettext 0.21.1-2
ghc-libs 9.0.2-1
ghostscript 10.0.0-2
giflib 5.2.1-2
gimp 2.10.32-2
git 2.39.0-1
glew 2.2.0-6
glib2 2.74.4-1
glibc 2.36-6
glibmm 2.66.5-1
glib-networking 1:2.74.0-1
glib-perl 1.329.3-3
glm 0.9.9.8-1
glslang 11.11.0-1
glu 9.0.2-3
glusterfs 1:10.3-2
gmp 6.2.1-2
gnome-disk-utility 43.0-1
gnome-menus 3.36.0-2
gnome-online-accounts 3.46.0-1
gnu-netcat 0.7.1-9
gnupg 2.2.40-1
gnustep-base 1.28.0-5
gnutls 3.7.8-4
gobject-introspection-runtime 1.74.0-1
google-chrome 107.0.5304.121-1
gpart 0.3-4
gparted 1.4.0-1
gperftools 2.10-1
gpgme 1.18.0-1
gpick 0.2.6-6
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 7.0.5-1
grep 3.8-2
grml-zsh-config 0.19.5-1
groff 1.22.4-7
grub 2:2.06.r403.g7259d55ff-1
grub-customizer 5.2.2-2
gsettings-desktop-schemas 43.0-1
gsfonts 20200910-2
gsm 1.0.22-1
gspell 1.12.0-2
gssdp 1.6.2-1
gssproxy 0.9.1-2
gst-libav 1.20.5-1
gst-plugins-bad 1.20.5-1
gst-plugins-bad-libs 1.20.5-1
gst-plugins-base 1.20.5-1
gst-plugins-base-libs 1.20.5-1
gst-plugins-good 1.20.5-1
gst-plugins-ugly 1.20.5-1
gstreamer 1.20.5-1
gstreamer-vaapi 1.20.5-1
gtk2 2.24.33-2
gtk3 1:3.24.36-1
gtk4 1:4.8.3-1
gtk-engine-murrine 0.98.2-4
gtkmm3 3.24.7-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
gtk-update-icon-cache 1:4.8.3-1
gts 0.7.6.121130-2
guile 3.0.8-3
gupnp 1:1.6.3-1
gupnp-igd 1.2.0-3
gutenprint 5.3.4-2
gvfs 1.50.2-1
gvfs-afc 1.50.2-1
gvfs-goa 1.50.2-1
gvfs-google 1.50.2-1
gvfs-gphoto2 1.50.2-1
gvfs-mtp 1.50.2-1
gvfs-smb 1.50.2-1
gzip 1.12-1
handbrake 1.6.0-1
harfbuzz 6.0.0-1
harfbuzz-icu 6.0.0-1
haskell-aeson 2.1.1.0-7
haskell-assoc 1.0.2-172
haskell-attoparsec 0.14.4-45
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-28
haskell-base-orphans 0.8.7-35
haskell-bifunctors 5.5.14-4
haskell-comonad 5.0.8-173
haskell-contravariant 1.5.5-3
haskell-data-fix 0.3.2-73
haskell-diff 0.4.1-46
haskell-distributive 0.6.2.1-176
haskell-dlist 1.0-198
haskell-erf 2.0.0.0-24
haskell-fgl 5.8.0.0-9
haskell-generically 0.1-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-hashable 1.4.1.0-40
haskell-indexed-traversable 0.1.2-2
haskell-indexed-traversable-instances 0.1.1.1-26
haskell-integer-logarithms 1.0.3.1-6
haskell-onetuple 0.3.1-46
haskell-primitive 0.7.4.0-53
haskell-quickcheck 2.14.2-384
haskell-random 1.2.1.1-82
haskell-regex-base 0.94.0.2-2
haskell-regex-tdfa 1.3.2-25
haskell-scientific 0.3.7.0-84
haskell-semialign 1.2.0.1-93
haskell-semigroupoids 5.3.7-77
haskell-splitmix 0.1.0.4-118
haskell-statevar 1.2.2-2
haskell-strict 0.4.0.1-146
haskell-tagged 0.8.6.1-5
haskell-text-short 0.1.5-50
haskell-th-abstraction 0.4.5.0-1
haskell-these 1.1.1.1-173
haskell-time-compat 1.9.6.1-68
haskell-transformers-compat 0.7.2-1
haskell-unordered-containers 0.2.19.1-49
haskell-uuid-types 1.0.5-88
haskell-vector 0.13.0.0-22
haskell-vector-stream 0.1.0.0-1
haskell-witherable 0.4.2-34
hddtemp 0.3.beta15.53-3
hdparm 9.65-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
highlight 4.4-2
highway 1.0.2-1
htop 3.2.1-1
http-parser 2.9.4-1
hunspell 1.7.1-1
hwdata 0.365-1
hwinfo 22.1-1
hwloc 2.8.0-1
hyperv 6.1-1
hyphen 2.8.8-5
iana-etc 20221215-1
icu 72.1-2
id3lib 3.8.3-18
id3v2 0.1.12-6
ijs 0.35-5
imagemagick 7.1.0.55-2
imath 3.1.6-1
imlib2 1.10.0-1
inetutils 2.3-1
iniparser 4.1-4
inotify-tools 3.22.6.0-1
intel-ucode 20221108-1
inxi 3.3.24.1-4
iproute2 6.1.0-3
iptables 1:1.8.8-2
iputils 20221126-1
irssi 1.4.3-2
iso-codes 4.12.0-1
iw 5.19-1
jack2 1.9.21-3
jansson 2.14-2
jasper 4.0.0-1
jbig2dec 0.19-1
jemalloc 1:5.3.0-1
jfsutils 1.1.15-8
jq 1.6-4
json-c 0.16-1
jsoncpp 1.9.5-2
json-glib 1.6.6-2
k3b 1:22.12.0-1
kaccounts-integration 22.12.0-1
kactivities 5.101.0-1
kactivities-stats 5.101.0-1
kactivitymanagerd 5.26.4-1
karchive 5.101.0-1
kauth 5.101.0-1
kbd 2.5.1-1
kbookmarks 5.101.0-1
kcmutils 5.101.0-1
kcodecs 5.101.0-1
kcolorpicker 0.2.0-1
kcompletion 5.101.0-1
kconfig 5.101.0-1
kconfigwidgets 5.101.0-1
kcoreaddons 5.101.0-1
kcrash 5.101.0-1
kdbusaddons 5.101.0-1
kdeclarative 5.101.0-1
