0ad 0.0.26_alpha
django-filter 23.1
django-js-asset 2.0
django-mptt 0.13.4
django-otp 1.1.6
django-prometheus 2.3.1
django-redis 5.2.0
django-registration 3.3
django-sortedm2m 3.1.1
django-tables2 2.5.3
django-tagging 0.5.0
django-taggit 3.1.0
django-timezone-field 5.0
djangorestframework 3.14.0
djbdns 1.05
djbdns-logparse 0.0.2
djbfft 0.76
djview 4.10.6
djvu 3.5.28
dkimproxy 1.4.1
dkimpy 1.1.3
dkjson 2.6
dleyna 0.8.2
dleyna-connector-dbus 0.4.1
dleyna-core 0.7.0
dleyna-renderer 0.7.2
dleyna-server 0.7.2
dlib 19.24
dlist 1.0
dMagnetic 0.36
dmalloc 5.5.2
dmaths 3.4.9.0
dmenu 5.2
dmg2img 1.6.7
dmidecode 3.5
dmlc-core 0.5
dmraid 1.0.0_rc16
dmtx-utils 0.7.6
dnd 1.1
dnotify 0.18.0
dnrd 2.20.3
dns 4.0.1
dns-lexicon 3.11.7
dnscap 1.10.3
dnscrypt-proxy 2.1.4
dnsdist 1.8.0
dnsenum 1.3.1
dnsmap 0.36
dnsmasq 2.89
dnsmasq_exporter 0.2.0
dnsproxy 1.17
dnspython 2.3.0
dnsruby 1.70.0
dnssec-root 20210902
dnssec-tools 2.2.3
dnssec-validator 2.2.3
dnstop 20140915
dnstracer 1.10
dnsviz 0.9.4
doas 6.8.2
doc8 1.1.1
docbook-dsssl-stylesheets 1.79
docbook-sgml-dtd 4.5
docbook-sgml-utils 0.6.14
docbook-xml-dtd 4.5
docbook-xml-simple-dtd 4.1.2.5
docbook-xsl-ns-stylesheets 1.79.1
docbook-xsl-stylesheets 1.79.1
docbook2X 0.8.8
docbookide 0.10
docile 1.4.0
docker 1.5
docker 2.2.0_p20221012
docker 23.0.4
docker_auth 1.9.0
docker-bench 0.5.0
docker-bench-security 1.3.3
docker-buildx 0.10.4
docker-cli 23.0.3
docker-compose 2.17.2
docker-credential-helpers 0.6.3
docker-distribution-pruner 0_p20170401
docker-machine 0.13.0
docker-machine-kvm 0.10.0
docker-proxy 0.8.0_p20230118
docker-py 5.0.3
docker-registry 2.8.1
docker-swarm 1.2.9
docker-tramp 0.1.1
dockerfile-mode 1.8
dockerpty 0.4.1
doclayout 0.4
docopt 0.6.2
docstring-to-markdown 0.12
doctemplates 0.10.0.2
doctest 0.20.0
doctest 2.4.11
doctest-ignore-unicode 0.1.2
doctest-mode 0.4
doctest-parallel 0.2.4
doctl 1.79.0
doctrine 2.6.4
doctrine-instantiator 1.4.0
docutils 0.19
docutils-glep 1.5
docx2txt 1.4
dog 1.7
doge 3.6.0
dogpile-cache 1.2.0
dogtail 0.9.11
doit 0.36.0
doit-py 0.5.0
dokuwiki 20230404
dolphin 23.04.0
dolphin 5.0_p20220520
dolphin-plugins-dropbox 23.04.0
dolphin-plugins-git 23.04.0
dolphin-plugins-mercurial 23.04.0
dolphin-plugins-mountiso 23.04.0
dolphin-plugins-subversion 23.04.0
dom4j 2.1.4
domain_name 0.5.20190701
dominate 2.7.0
domination 1.1.1.6
dominions2 2.16
doom-data 1.9
doom-data-gog 1.9
doom-modeline 3.4.0
doom-themes 2.3.0
doom2-data-gog 1.9
doomsday 2.3.1
dopewars 1.6.1
dos2unix 7.4.4
dosbox 0.75_pre4302
dosbox-staging 0.80.1
dose3 7.0.0
dosemu 1.4.1_pre20130107
dosfstools 4.2
dot-forward 0.71
dot2tex 2.11.3
dotconf 1.3
dotnet-sdk 7.0
dotnet-sdk-bin 7.0.200
dotproject 2.1.7
double-conversion 3.2.1
doublex 1.9.6.1
doublex-expects 0.7.1
dovecot 2.3.20
downloader-cli 0.3.3
doxygen 1.9.6
doxymacs 1.8.0
dpic 20200901
dpkg 1.21.15
dqlite 1.14.0
draci-historie 2012
dracut 059
dracut-crypt-ssh 1.0.7
dragon 23.04.0
drascula 1.0
drbd-utils 9.19.1
dreamweb 1.1
driftnet 1.3.0
drive 0.4.0_p20210208
drkonqi 5.27.4
droid 113
droidcam 2.0.0
drone 2.13.0
drone-cli 1.5.0
dropbear 2022.83
dropbox 173.4.6706
dropbox-cli 2023
dropdown-list 20120329
dropwatch 1.4_p20150706
drpm 0.5.1
drumstick 2.6.1
drupal 10.0.8
drush 6.7.0
ds9-bin 7.4
dsdp 5.8
dsfmt 2.2.4
dsh 0.25.10
dsniff 2.4_beta1_p30
dssi 1.1.1
dssp 4.2.2.1
dstat 0.7.4
dtach 0.9
dtc 1.6.0
dtrx 8.5.2
dts-mode 1.0
dtv-scan-tables 0_p20210430
duc 1.4.3
duf 0.8.1
duff 0.5.2
duhdraw 2.8.13
duke3d-data 1.0
duktape 2.7.0
duktape-rb 2.7.0.0
dulwich 0.21.5
duma 2.5.15
dumb 2.0.3
dumb-init 1.2.5
Dumbbench 0.501.0
dump 0.4.47
dump1090 6.1
dumpet 2.1_p20140601
dune 3.7.1
dune-build-info 3.7.1
dune-configurator 3.7.1
dune-format 0.1
dune-private-libs 3.7.1
dune-site 3.7.1
dunelegacy 0.96.4
dungeon-defenders 20130305
dunshire 0.1.1
dunst 1.9.2
duperemove 0.11.3
duplicity 1.2.2
duply 2.3.1
duration 0.1.3
dust 0.1.7
dustrac 1.13.0
dv2sub 0.3
dvbackup 0.0.4
dvbsnoop 1.4.50
dvbstream 0.7_pre20080516
dvbtune 0.5
dvd_info 1.1
dvd+rw-tools 7.1
dvd9to5 0.1.7
dvda-author 10.06
dvdauthor 0.7.2
dvdbackup 0.4.2
dvdimagecmp 0.3
dvdisaster 0.79.5
dvdrip 0.98.11
dvdshrink 2.6.1_p10
dvdstyler 3.2.1
dvgrab 3.5
dvhtool 1.0.1
dvi2gr 0.4
dvipng 1.17
dvipsk 2021.1_p20210325
dvisvgm 3.0.4
dvorak7min 1.6.1
dvorakng 0.6.0
dvtm 0.15
dwarf-fortress 0.47.05
dwarf-mode 2.40
dwdiff 2.1.3
dwm 6.4
dwun 0.96e
dwz 0.15
dxcc 20191204
dxpc 3.9.2
dxvk 2.1_p20230207
dxx-rebirth 0.61.0_pre20210623
dymo-cups-drivers 1.4.0
dyn 3.7.1
DynaLoader-Functions 0.3.0
dynamips 0.2.23
dynamite 0.1.1_p20120512
dynamitejack 1.0.23
dzen 0.9.5_p2
dzip 2.9
dzongkha-fonts 2009.09
e-gtk-theme 0.19.3
e16 1.0.25
e16-docs 0.16.8.0.2
e16-epplets 0.17
e16-keyedit 0.9
e16-themes 1.0.2
e16menuedit2 0.0.3
e2fsprogs 1.47.0
e2tools 0.1.0
e3 2.8.2
e3-core 22.2.0
e3-testsuite 25.0
eagle 9.6.2
earlyoom 1.7
easy-align 2.10.0
easy-file 0.2.2
easy-format 1.2.0
easy-rsa 3.1.2
easy-thumbnails 2.8.5
easychem 0.6
easycrypt 2022.04_p20230324
easyeffects 7.0.3
easygit 1.7.5.2
easymock 3.3.1
easypg 1.05
easyprocess 1.1
easytag 2.4.3
eb 4.4.1
eb-garamond 0.016
ebdftopcf 2
ebib 2.39.3
eblook 1.6.1_p16
ebnf-syntax 1.1
eboard 1.1.1
ebook-tools 0.2.2
ebtables 2.0.11
ebuild-mode 1.63
ebuild-mode 1.63
ebuild-run-mode 20221116
ebuildtester 42
ecasound 2.9.3
ecb 1.26
ecb 2.50_pre20170728
eccodes 2.18.0
ecdsa 0.18.0
echinus 0.4.9
echo 0.1.3
echoping 6.0.2_p434
eclass-manpages 20230417
eclean-kernel 2.99.4
eclib 20221012
eclipse-ecj 4.26
ecls 21.2.1
ecma-re-validator 0.4.0
econnman 1.1_p20160305
ecrire 0.2.0
ecryptfs-utils 111_p20170609
ecrypto 0.23
ecukes 0.6.18
ed 1.19
ed25519 0.0.5.0
ed25519 1.3.0
ed2k_hash 0.4.0
edac-utils 0.18
edb 1.34
edb-debugger 1.3.0
edbrowse 3.8.2.1
ede 1.07
edebug 1.24
edencommon 2023.05.01.00
edi 0.8.0
edict 1.19
edictionary 2.6
edid-decode 0_pre20230131
edid-fixdim 1
ediff 1.84
edit-distance 0.2.2.1
edit-list 0.3
edit-server 1.16
edit-utils 2.59
editables 0.3
editline 1.17.1
editor 0
editor-wrapper 4
editorconfig-core-c 0.12.6
editorconfig-core-py 0.12.3
editorconfig-emacs 0.10.0
editorconfig-geany 0.2
editorconfig-vim 1.1.1
editres 1.0.8
edk2-ovmf 202202
edk2-ovmf-bin 202202
edt 1.16
eduke32 20230123.10167
ee 1.5.2
eekboard 1.0.8_p20121001
efax 0.9a_p19_p1
efax-gtk 3.2.15
efibootmgr 18
efitools 1.9.2
efivar 38
efl 1.26.3
efont-unicode 0.4.2
efs 1.37
egads 0.9.5
egg-its 1.29
eggdrop 1.9.5
egl-gbm 1.1.0
egl-wayland 1.1.11_p20230202
eglexternalplatform 1.1
eglot 1.13
egoboo 2.8.1
egypt 1.10
eiciel 0.10.0
eid-mw 5.1.10
eieio 1.10
eigen 3.4.0
eimp 1.0.22
einstein 2.1.1
eiskaltdcpp 2.4.2
eisl 2.90
eix 0.36.6
ejabberd 23.01
ekeyd 1.1.5
ekushey-bangla-fonts 20070420
el-mock 1.25.1
elastic-transport 8.4.0
elasticsearch 6.8.3
elasticsearch 8.6.2
elasticsearch_exporter 1.3.0
elasticsearch-api 6.8.3
elasticsearch-py 8.7.0
elasticsearch-transport 6.8.3
eldev 1.3.1
electric 9.07
electron-cash 4.2.11
electronics-menu 1.0
electrum 4.4.2
electrum-ltc 4.2.2.1
elem 1.0.3
element 1.11.29
element-desktop-bin 1.11.29
elementary-xfce-icon-theme 0.17
elementpath 4.1.2
eless 0.7
elettra 1.0
elfeed 3.4.1_p20210822
elfio 3.11
elfix 0.9.5
elfkickers 3.2
elftoolchain 0.7.1_p20210319
elfutils 0.189
elib 1.15
elicense 1.0.2
elilo 3.16
elinks 0.16.1.1
elisa 23.04.0
elisp-manual 27.2
elixir 1.14.4
elixir-mode 2.3.2_p20220314
elk 3.99.8
ell 0.56
elles_icc_profiles 20160501.0932
elogind 246.10
elogv 0.7.9
elogviewer 3.2
elph 1.0.1
elpher 3.4.3
elpi 1.16.9
elpy 1.35.0_p20220627
elscreen 20180321
elsw 0.0.0
elt-patches 20221210
em-websocket 0.5.3
emacs 29.0.90
emacs-aio 1.0_p20200610
emacs-ansilove 2.0.0
emacs-bazel-mode 0_p20220707
emacs-ccls 0_pre20230311
emacs-common 1.8
emacs-crystal-mode 0.1.0_p20221008
emacs-daemon 0.22
emacs-desktop-mail 1.2
emacs-ebuild-snippets 2.0.4
emacs-eix 0.0.0
emacs-el-fetch 3.3.0
emacs-ipython-notebook 0.17.0_p20220419
emacs-jabber 0.8.92
emacs-openrc 1.0.0
Emacs-PDE 0.2.17
emacs-updater 1.16
emacs-w3m 1.4.632_pre20181112
emacs-websearch 2.1.0
emacs-wget 0.5.0
emacspeak 56.0
emacspeak-ss 1.9.1
emact 2.58.0
email 3.1.3
Email-Abstract 3.9.0
Email-Address 1.913.0
Email-Address-List 0.60.0
Email-Address-XS 1.50.0
Email-Date 1.104.0
Email-Date-Format 1.8.0
Email-Filter 1.35.0
Email-Find 0.100.0
Email-FolderType 0.814.0
Email-LocalDelivery 1.200.0
Email-MessageID 1.408.0
Email-MIME 1.953.0
Email-MIME-Attachment-Stripper 1.317.0
Email-MIME-ContentType 1.28.0
Email-MIME-Encodings 1.317.0
Email-Reply 1.204.0
Email-Send 2.201.0
Email-Send-Gmail 0.330.0
Email-Sender 2.600.0
Email-Simple 2.218.0
Email-Valid 1.203.0
email-validate 2.3.2.15
embassy 6.6.0
embassy-cbstools 1.0.0.660
embassy-clustalomega 1.1.0.660
embassy-domainatrix 0.1.660
embassy-domalign 0.1.660
embassy-domsearch 0.1.660
embassy-emnu 1.05.660
embassy-esim4 1.0.0.660
embassy-hmmer 2.3.2.660
embassy-iprscan 4.3.1.660
embassy-mse 3.0.0.660
embassy-phylipnew 3.69.660
embassy-signature 0.1.660
embassy-structure 0.1.660
embassy-topo 2.0.660
embassy-vienna 1.7.2.660
emboss 6.6.0
embree 3.13.5
emcee 3.1.4
emech 3.0.99_p20221123
emerge 1.13
emerge-delta-webrsync 3.7.6
emhacks 20070920
emilia-pinball 0.3.1
emma 2.0.5312
emmet 0.85
emms 15
emoji 2.2.0
emojify 1.2_p20210309
emojis 0.1.2
empty 0.6.23c
EmptyEpsilon 2022.10.28
empy 3.3.4
emutos 1.2.1
ena-driver 2.8.5
enblend 4.2.0_p20161007
enca 1.19
encfs 1.9.5
enchant 2.3.4
enclosed-exceptions 1.0.3
Encode 3.120.0
Encode-compat 0.70.0
Encode-Detect 1.10.0
Encode-EUCJPASCII 0.30.0
Encode-HanConvert 0.350.0
Encode-HanExtra 0.230.0
Encode-IMAPUTF7 1.50.0
Encode-JIS2K 0.30.0
Encode-Locale 1.50.0
encodings 1.0.7
endeavour 43.0
endless-sky 0.9.16.1
endlessh 1.1
endpoint 0.1.0
energi3 3.1.0
enet 1.3.17
engauge 12.1
engrampa 1.26.0
engrave-faces 0.3.1
enhancedcommentify 2.3
enigma 1.21
enigmail 2.2.4
enlightenment 0.25.4
enrich 1.2.7
enscript 1.6.6
ensurepip-pip 23.1.2
ensurepip-setuptools 67.7.2
ensurepip-wheel 0.40.0
ensurepip-wheels 100
ent 101202
entangle 3.0
entice 0_pre20220809
entr 5.3
entropy 0.4.1.6
entrypoint2 1.1
entrypoints 0.4
enum 1.1
enum 1.120.0
envchain 1.0.1
environs 9.5.0
envman 2.1.1
enzyme 0.4.1
eog 44.1
eog-plugins 44.0
eom 1.26.0
epam 1.0.14
epc 0.1.1
ephemeral-port-reserve 1.1.4
ephoto 1.6.0
epiar 0.5.1
epic5 2.0.1
epiphany 44.2
epix 1.2.19
epkg 0.4
epl 0.9
epoch 1.3.0
epos 2.5.37
eprover 3.0_pre008
eps 1.7
epson-inkjet-printer-escpr 1.7.26
epspdf 0.6.5
epstool 3.09
equalizer 0.0.11
equatable 0.7.0
eradicate 2.2.0
erc 0.26
erec 2.2.0.1
eredis 1.2.0
erf 2.0.0.0
erfa 2.0.0
ergo 2.11.1
erlang 25.3
erobot 2.1.0
erofs-utils 1.5
err 6.1.9
Error 0.170.290
error-prone-annotations 2.16
errorcall-eq-instance 0.3.0
errors 2.3.0
errsign 0.1
ersatz-emacs 20060515
ert-async 0.1.2_p20200105
ert-runner 0.8.0
erubi 1.12.0
erubis 2.7.0
eruby-syntax 2.0
eschalon-book-1-demo 106
escm 1.1
esco 0.512
escreen 1.03
esdl 1.3.1
esearch 1.3
esekeyd 1.2.7
eselect 1.4.22
eselect-blas 0.3
eselect-cblas 0.1
eselect-cdparanoia 0.1
eselect-chuck 1.0.2
eselect-ctags 1.19
eselect-emacs 1.19
eselect-fontconfig 20220403
eselect-gnome-shell-extensions 20180306
eselect-gradle 0.2
eselect-iptables 20220320
eselect-java 0.5.0
eselect-lapack 0.3
eselect-lib-bin-symlink 0.1.1
eselect-lua 4
eselect-luajit 1
eselect-mode 1.4.17
eselect-mpg123 0.1
eselect-notify-send 0.1
eselect-oodict 20100228
eselect-package-manager 20110108
eselect-php 0.9.8
eselect-pinentry 0.7.2
eselect-postgresql 2.4
eselect-python 20200719
eselect-rails 0.26
eselect-repository 13
eselect-ruby 20221225
eselect-rust 20210703
eselect-scala 0.1.1
eselect-sndpeek 1.0.2
eselect-syntax 20070506
eselect-timezone 0.2
eselect-timidity 20110513
eselect-unison 0.4
eselect-vdr 0.0.4
eselect-vi 20221122
eselect-wine 2.0.2
eselect-wxwidgets 20230114
eselect-zig 1
esh 0.8.5
eshell 1.21
esip 1.0.49
esmtp 1.2
esomidas 17.02
esorex 3.12.3
espeak 1.48.04
espeak-ng 1.51
espeakup 0.90
espresso 4.2.0
espresso-ab 1.0
esptool 4.5.1
espuds 0.3.3_p20171111
ess 1.03
ess 18.10.2
essays1743 2.100
esup 0.7.1_p20220203
et_xmlfile 1.1.0
etcd 3.4.16
etckeeper 1.18.20
eternal-lands 1.9.5.8
etherape 0.9.20
ethercard-diag 20050321.1g
etherdfs 20180203
ethertypes 0
ethflop 20191003
ethloop 10
ethon 0.16.0
ethq 0.6.1
ethtool 6.2
ETL 1.4.1
etqw-bin 1.5
etqw-data 1.0
etqw-ded 1.5
etqw-demo 2.0_p1
etswitch 0.1.14
ettercap 0.8.3.1
etuples 0.3.8
eudc 1.44
eudev 3.2.12_pre3
eugene 4.1d
euler 1.61.0
eureka 1.27b
euses 2.6.0
EV 4.330.0
Eval-Closure 0.140.0
Eval-LineNumbers 0.350.0
Event 1.280.0
Event-ExecFlow 0.640.0
Event-RPC 1.100.0
eventd 0.29.0
evented-spec 0.9.0
eventlog 0.2.12
eventmachine 1.2.7
eventviews 23.04.0
evil 1.14.2
evilwm 1.3.1
evince 44.1
evisum 0.6.0
evoluspencil 3.1.0
evolution 3.48.1
evolution-data-server 3.48.1
evolution-ews 3.48.1
evolvotron 0.7.1
evtest 1.35
evtxtools 1.1.1
ewmh 0.1.6
exa 0.10.1
exabgp 4.2.21
exabgp_exporter 1.0.0_p20200718
exact-image 1.0.2
exaile 4.1.2
exam 0.10.6
examiner 0.5
Exception-Base 0.250.100
Exception-Class 1.450.0
Exception-Died 0.60.0
Exception-System 0.110.0
Exception-Warning 0.40.100
exceptiongroup 1.1.1
exceptions 0.10.4
excido 0.1.5c
excon 0.95.0
exec-path-from-shell 1.12
execjs 2.8.1
execline 2.9.3.0
execnet 1.9.0
executing 1.2.0
exempi 2.6.3
exfat-utils 1.4.0
exfatprogs 1.2.0
exheres-mode 1.10
exheres-syntax 20201115
exif 0.6.22
exifr 1.3.10
exiftool 12.62
exim 4.96
exim-geoip 0.1
exim-p0f 0.1
exiv2 0.27.6
exljbris-free 20100320
exo 1.68.0
exo 2
exo 4.18.0
exodusii 6.09
exonerate 2.2.0
expand-region 0.11.0
expander 2.05
expat 2.5.0
Expect 1.350.0
expect 5.45.4
expect_test_helpers_core 0.15.0
expect-lite 4.9.0
expects 0.9.0
experience 3.04
Exporter-Cluster 0.310.0
Exporter-Lite 0.80.0
Exporter-Tiny 1.6.0
express 1.5.1
ext3grep 0.10.2
ext4magic 0.3.2
extensible-exceptions 0.1.1.4
external-completion 0.1
extlib 1.7.9
extra 1.7.10
extra-cmake-modules 5.105.0
extra-syntax 4
extract_url 1.6.2
extract-xiso 2.7.1_p202204252159
extras 1.0.0
extreme-tuxracer 0.8.2
extundelete 0.2.4
ExtUtils-AutoInstall 0.640.0
ExtUtils-CChecker 0.110.0
ExtUtils-Config 0.8.0
ExtUtils-CppGuess 0.230.0
ExtUtils-Depends 0.800.100
ExtUtils-F77 1.260.0
ExtUtils-HasCompiler 0.23.0
ExtUtils-Helpers 0.26.0
ExtUtils-InstallPaths 0.12.0
ExtUtils-LibBuilder 0.80.0
ExtUtils-MakeMaker-CPANfile 0.90.0
ExtUtils-PkgConfig 1.160.0
ExtUtils-Typemaps-Default 1.50.0
ExtUtils-XSBuilder 0.280.0
ExtUtils-XSpp 0.180.0
exult 1.8
exult-sound 0
exwm 0.27
eyeD3 0.9.7
ez-ipupdate 3.0.11.13.3_beta8
ezlib 1.0.12
ezmlm-idx 7.2.2
ezquake-bin 2.2
ezstream 0.6.0
f 0.20.0
f2c 20100827
f2fs-tools 1.16.0
f3 8.0
faac 1.30
faad2 2.10.1
facile 1.1.4
facter 4.4.0
faenza-icon-theme 1.3.1
fail 4.9.0.0
fail2ban 1.0.2
failureaccess 30.1.1
fake 1.1.10
fakechroot 2.20.1_p2
fakefs 1.9.0
fakeidentd 2.6
Faker 18.6.2
faker 3.2.0
fakeredis 2.11.2
fakeroot 1.31
fakk2 1.02
falkon 23.04.0
fam 0
fam 2.7.0_p17_p3
fangfrisch 1.6.1
fann 2.2.0
fantasque-sans-mono 1.8.0
fapg 0.44
faq 0.0.7
faraday 2.7.4
faraday_middleware 1.2.0
faraday_middleware-multi_json 0.0.6
faraday-net_http 3.0.2
farbfeld 4
farsi-fonts 0.4
farstream 0.2.9
fast_gettext 2.3.0
fast_tls 1.1.16
fast_xml 1.1.49
fast_xs 0.8.0
fast_yaml 1.0.36
fast-logger 3.0.1
fast-stemmer 1.0.2
fasta 36.3.8h
fasteners 0.18
fasthenry 3.0.20.07.17
fastimport 0.9.14
fastinfoset 2.1.0
fastjet 3.4.0
fastjet-contrib 1.049
fastjsonschema 2.16.3
fasttree 2.1.11
fastx_toolkit 0.0.14
Fatal-Exception 0.50.0
fatcat 1.1.1
fatrat 1.2.0_beta2_p20161204
fatresize 1.1.0
fatsort 1.6.5.640
fattr 2.4.0
faudio 23.02
fax4cups 1.29
faxpp 0.4
fbdesk 1.4.1
fbg 0.9
FBGEMM 2023.02.10
fbgrab 1.5
fbida 2.14
fblog 1.4.1
fbpager 20090221
fbpanel 7.0
fbpdf 0_p20200614
fbreader 0.99.4
fbset 2.1
fbterm 1.7_p20190503
fbzx 4.8.0
fceux 2.6.5
fcft 3.1.5
FCGI 0.820.0
fcgi 0.9.2.2
fcgi 2.4.1_pre0910052249
FCGI-Client 0.90.0
FCGI-ProcManager 0.280.0
fcgiwrap 1.1.0
fcitx 4.2.9.8
fcitx-anthy 0.2.3
fcitx-chewing 0.2.3
fcitx-cloudpinyin 0.3.6
fcitx-configtool 0.4.10
fcitx-hangul 0.3.1
fcitx-libpinyin 0.5.4
fcitx-m17n 0.2.4
fcitx-qt5 1.2.5
fcitx-rime 0.3.2
fcitx-sayura 0.1.2
fcitx-table-extra 0.3.8
fcitx-unikey 0.2.7
fcl 0.6.1
fcrackzip 1.0
fcron 3.3.1
fd 8.7.0
fddl 20111124
fdk-aac 2.0.2
fdm 2.2
fdm-materials 4.13.0
fdo-notify 0.3.1
fdupes 2.2.1
fdutils 5.6_p2
fe 2.0
featherpad 1.4.0
fec 1.0.4
fedora-autoloader 1.0.1
fedora-backgrounds 38.1.1
feed 1.3.2.1
Feed-Find 0.120.0
feedgenerator 2.1.0
feedparser 6.0.10
feh 3.10
felix 3.1.3
felix-framework 7.0.5
felix-main 7.0.5
felix-resolver 2.0.4
felix-utils 1.11.8
fennel 1.3.0
fennel-mode 0.5.0
ferite 1.1.17
ferm 2.7
ferret 5.0
ferrisloki 3.0.13
Festival-Client-Async 0.30.300
fetch 1.0
fetchcommandwrapper 0.8.4
fetchlog 1.4
fetchmail 6.4.37
fetk 1.5
ffaker 2.21.0
ffcall 2.4
ffcast 2.4.8
ffdiaporama 2.2_pre20221007
fff 20050517
ffi 1.15.5
FFI-CheckLib 0.310.0
ffi-compiler 1.0.1
fflas-ffpack 2.4.3
ffmpeg 6.0
ffmpeg-chromium 112
ffmpeg-python 0.2.0
ffmpegsource 2.40
ffmpegthumbnailer 2.2.2
ffmpegthumbs 23.04.0
fftw 3.3.10
fgdc-emergency 2.20
fgl 5.7.0.3
fhem 6.2
fiber-local 1.0.0
fibers 1.2.0
fictionup 0.2.1
fidlib 0.9.10
fido2 1.1.1
Field3D 1.7.2
fields 5.0.0
fieldslib 0.15.0
fifo-cronolog 1.1.1
fifth-leg 0.6
fig2sxd 0.22.1
figlet 2.2.5
figurine 1.0.5
fil-plugins 0.3.0
file 5.44
File_Iterator 3.0.6
File-BaseDir 0.90.0
File-BOM 0.180.0
File-chdir 0.101.100
File-chmod 0.420.0
File-Copy-Link 0.140.0
File-Copy-Recursive 0.450.0
File-Copy-Recursive-Reduced 0.6.0
File-DesktopEntry 0.220.0
file-embed 0.0.11.2
File-Find-Object 0.3.7
File-Find-Rule 0.340.0
File-Find-Rule-Perl 1.150.0
File-Flat 1.70.0
File-Flock 2014.10.0
File-Grep 0.20.0
File-HomeDir 1.6.0
File-KeePass 2.30.0
File-LibMagic 1.230.0
File-Listing 6.150.0
File-Map 0.670.0
File-MimeInfo 0.300.0
File-MMagic 1.300.0
File-NCopy 0.360.0
File-Next 1.180.0
File-NFSLock 1.290.0
File-Path-Expand 1.20.0
File-Pid 1.01
File-pushd 1.16.0
File-ReadBackwards 1.60.0
File-Remove 1.600.0
file-roller 43.0
File-RsyncP 0.760.0
File-Scan-ClamAV 1.950.0
File-SearchPath 0.70.0
File-Share 0.250.0
File-ShareDir 1.118.0
File-ShareDir-Install 0.140.0
File-ShareDir-ProjectDistDir 1.0.9
File-Slurp-Tiny 0.4.0
File-Slurper 0.14.0
File-Sort 1.10.0
File-Spec-Native 1.4.0
File-Stat-Bits 1.10.0
File-Sync 0.110.0
file-tail 1.2.0
File-Tail 1.300.0
File-Temp 0.231.100
File-Tempdir 0.20.0
File-TreeCreate 0.0.1
File-Type 0.220.0
File-Which 1.270.0
filebeat 7.17.5
filebench 1.4.9.1
filebus 0.3.5
filebytes 0.10.2
FileHandle-Unget 0.163.400
filelight 23.04.0
filelock 3.12.0
filemanip 0.3.6.3
filepath-bytestring 1.4.2.1.9
filesize 0.2.0
Filesys-Df 0.920.0
Filesys-DiskSpace 0.50.0
Filesys-Notify-Simple 0.140.0
Filesys-SmbClient 3.200.0
Filesys-Statvfs 0.820.0
filetype 1.2.0
filewatcher 2.4.6
filezilla 3.63.2.1
filigree 0.4.1
filladapt 2.12.2
Filter 1.600.0
final-doom-data-gog 1.9
Finance-Quote 1.510.0
Finance-YahooQuote 0.260.0
finchtv 1.3.1
findbin 0.0.5
findbugs-annotations 3.0.1
findimports 2.3.0
findlib 1.9.6
findutils 4.9.0
fingertree 0.1.4.2
fio 3.34
fira-code 6.2
fira-mono 4.202
fira-sans 4.202
firebird 3.0.10.33601.0
firecracker-bin 1.3.1
fireflies 2.08
firefox 112.0.2
firefox-bin 112.0.2
firehol 3.1.7
firejail 0.9.72
firewalk 5.0
firewalld 1.3.2
firmware-imx 5.4
fish 3.6.1
fish-fillets 1.0.1
fishbowl 1.4.1
fishsupper 0.1.6
fisicalab 0.3.5
fitscut 1.4.4
fitsh 0.9.2
fitsio 1.1.8
fitspng 2.0
fitsverify 4.20
fityk 1.3.1
five-or-more 3.32.3
fix 20220121
fix-gnustack 0.1
fixtures 4.0.1
flac 1.4.2
flac-compat 1.3.4
flac-image 1.00
flac123 0.0.12
flack 2.0.6
flacon 10.0.0
flaggie 0.99.4
flake 0.11
flake8 6.0.0
flake8-polyfill 1.0.2
flaky 3.7.0
flam3 3.1.1
FlameGraph 1.0_p20220918
flameshot 12.1.0
flamp 2.2.07
flann 1.9.1
flannel 0.20.0
flashbench 20120606
flashcard 2.3.3
flashrom 1.3.0
flask 2.3.2
flask-api 3.0
flask-babel 3.1.0
flask-compress 1.13
flask-cors 3.0.10
flask-debug 0.4.3
flask-gravatar 0.5.0
flask-htmlmin 2.2.1
flask-login 0.6.2
flask-migrate 4.0.4
flask-nav 0.6
flask-paginate 2022.1.8
flask-paranoid 0.3.0
flask-sphinx-themes 1.0.2
flask-sqlalchemy 3.0.3
flatbuffers 23.3.3
flatbuffers 23.3.3
flatdict 4.0.1
flatpak 1.14.4
flatpak-builder 1.3.1
flatpak-kcm 5.27.4
flatsvg 1.0
flatzebra 0.1.7
flawfinder 2.0.19
fldigi 4.1.26
fleep 1.0.1
flex 2.6.4
flexbackup 1.2.1
flexi-streams 1.0.17
flexmock 0.11.3
flexmock 2.3.6
flickcurl 1.26
flightgear 2020.3.18
flightgear-data 2020.3.18
flim 1.14.9_p20210529
flint 2.9.0
flintqs 1.0
flirc 3.25.2
flit 3.8.0
flit_core 3.8.0
flit_scm 1.7.0
flite 2.2
flmsg 4.0.20
flobopuyo 0.20
flocq 4.1.1
flog 4.6.6
flow-pomodoro 1.2.0
flow-tools 0.68.6
flowgrind 0.8.2
flpsed 0.7.3
flrig 1.4.8
fltk 1.3.5
fluent-icon-theme 2023.02.01
fluentd 1.14.4
flufl-lock 7.1.1
fluid-soundfont 3.1
fluidsynth 2.3.2
fluidsynth-dssi 1.0.0
flux 0.41.2
fluxbox 1.3.7
