0ad 0.0.26_alpha
amdgpu-pro-opencl 20.40.1147286
amdgpu-pro-vulkan 22.20.3.1462318
amf-headers 1.4.26
amiwm 0.22.01_p20200826
aml 0.3.0
ammeter 1.1.5
ammonite-repl-bin 2.5.8
amodem 1.15.4
amoebax 0.2.1
ampache_browser 1.0.5
amphetadesk 0.93.1
amphetamine 0.8.10
ampi 0_pre20140616
amq-client 1.0.4
amq-protocol 2.3.2
amqp 1.8.0
amqp-cpp 4.3.18
ams-lv2 1.2.2
amsynth 1.13.2
amtk 5.6.1
amtterm 1.6
amule 2.3.3
amx 3.4
an 1.2_p6
anacron 2.3
anagramarama 0.2
analitza 23.04.0
analog 1.9.99
analog 6.0.13
ananicy 2.2.1
anaphora 1.0.4
andika 5.000
android-file-transfer-linux 4.2
android-ndk 18
android-sdk-update-manager 24.4.1
android-studio 2022.3.1.11
android-tools 34.0.0
android-udev-rules 20230303
angband 4.2.4
angelscript 2.36.0
angrydd 1.0.1_p13
angus-activation 1.0.0
animal-sniffer-annotations 1.15
aniso8601 9.0.1
anjuta 3.34.0
anki 2.1.15
annoy 0.5.6
anonymous-pro 1.002
anope 2.0.11
ansi 0.3.6
ansi 0.4.1_p20211104
ansi 1.5.0
ansi-terminal 0.10.3
ansi-wl-pprint 0.6.9
ansi2html 1.8.0
ansible 7.4.0
ansible-compat 4.0.2
ansible-core 2.14.5
ansible-lint 6.14.6
ansible-modules-hashivault 5.1.0
ansible-molecule 4.0.4
ansible-pygments 0.1.1
ansible-runner 2.2.1
ansicolor 0.3.2
ansiesc 12
ansifilter 2.18
ansilove 4.1.7
ANSITerminal 0.8.5
ansiweather 1.19.0
ant 1.10.9
ant_menu 0.5.7.1
ant-antlr 1.10.9
ant-apache-bcel 1.10.9
ant-apache-bsf 1.10.9
ant-apache-log4j 1.10.9
ant-apache-oro 1.10.9
ant-apache-regexp 1.10.9
ant-apache-resolver 1.10.9
ant-apache-xalan2 1.10.9
ant-commons-logging 1.10.9
ant-commons-net 1.10.9
ant-contrib 1.0_beta6_pre20201123
ant-core 1.10.9
ant-eclipse-ecj 4.26
ant-ivy 2.5.0
ant-jai 1.10.9
ant-javamail 1.10.9
ant-jdepend 1.10.9
ant-jmf 1.10.9
ant-jsch 1.10.9
ant-junit 1.10.9
ant-junit4 1.10.9
ant-junitlauncher 1.10.9
ant-swing 1.10.9
ant-testutil 1.10.9
ant-xz 1.10.9
anthy 9100h
antimicro 2.23
antimicrox 3.3.3
antiword 0.37
antixls 0.3b
antlr 4.9.3
antlr-c 3.5.2
antlr-cpp 4.11.1
antlr-runtime 4.9.3
antlr-tool 4.9.3
antlr4-python3-runtime 4.12.0
Any-Moose 0.270.0
anydesk 6.2.1
AnyEvent 7.170.0
AnyEvent-AIO 1.100.0
AnyEvent-CacheDNS 0.80.0
AnyEvent-HTTP 2.250.0
AnyEvent-HTTPD 0.930.0
AnyEvent-I3 0.170.0
anyio 3.6.1
anyqt 0.2.0
anyremote 6.5
anyterm 1.1.29
aoetools 37
aop 0.6
aopalliance 1.0
apache 2.4.57
apache-arrow 12.0.0
Apache-AuthCookie 3.300.0
Apache-CGI-Builder 1.300.0
Apache-DBI 1.120.0
Apache-Gallery 1.0_rc3
Apache-LogFormat-Compiler 0.360.0
apache-mode 2.2.0
