a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20211102.0-2
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
acpi 1.7-3
acpid 2.0.33-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
adwaita-qt5 1.4.1-3
adwaita-qt6 1.4.1-3
adw-gtk3 2.0-1
adw-gtk-theme 1.1-1
alacarte 1:3.44.1-1
alsa-card-profiles 1:0.3.52-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.7-2
alsa-oss 1.1.8-4
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7-1
alsa-utils 1.2.7-1
amd-ucode 20220509.b19cbdc-1
android-tools 31.0.3-5
android-udev 20220102-1
aom 3.3.0-1
apache 2.4.53-1
apparmor 3.0.4-2
appimagelauncher 2.2.0-9
appstream 0.15.4-1
appstream-glib 0.7.18-3
appstream-qt 0.15.4-1
apr 1.7.0-3
apr-util 1.6.1-9
archlinux-appstream-data 20220512-1
archlinux-keyring 20220424-1
argon2 20190702-4
ark 22.04.2-1
atk 2.38.0-1
atkmm 2.28.2-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
attica 5.94.0-1
attr 2.5.1-2
audacious 4.1-3
audacious-plugins 4.1-6
audit 3.0.8-1
avahi 0.8+22+gfd482a7-3
b43-fwcutter 019-3
babl 0.1.90-2
baloo 5.94.0-1
baloo-widgets 22.04.2-1
baobab 42.0-1
bash 5.1.016-2
bashrc-manjaro 5.1.016-2
bc 1.07.1-4
binutils 2.38-5
blas 3.10.1-1
bluedevil 1:5.24.5-1
blueman 2.2.4-1
bluez 5.64-2
bluez-libs 5.64-2
bluez-qt 5.94.0-1
bmenu 0.18-1
bolt 0.9.2-1
boost-libs 1.78.0-3
botan 2.19.2-1
breeze 5.24.5-1
breeze-gtk 5.24.5-1
breeze-icons 5.94.0-1
